group_id,source,dataset,orig_id,caption_id,caption_text,raw_image_path,qc_pass,qc_score,seed
1,real,COCO,000000436795,coco-000000436795,A man eating a hotdog in a kitchen,data/raw/real/coco/g0001__src-real.jpg,true,1.0,42
2,real,Flickr30k,11914981,flickr-576,"A man, a woman, and a younger girl are moving a device with a conveyor belt",data/raw/real/flickr30k/g0002__src-real.jpg,true,1.0,42
3,real,COCO,000000392915,coco-000000392915,"A neat and tidy, modern, residential, family kitchen",data/raw/real/coco/g0003__src-real.jpg,true,1.0,42
4,real,COCO,000000122203,coco-000000122203,Lots of cows eating grass on a large field.,data/raw/real/coco/g0004__src-real.jpg,true,1.0,42
5,real,COCO,000000183666,coco-000000183666,Red and blue train sits along the tracks,data/raw/real/coco/g0005__src-real.jpg,true,1.0,42
6,real,COCO,000000554625,coco-000000554625,a boy wearing headphones using one computer in a long row of computers,data/raw/real/coco/g0006__src-real.jpg,true,1.0,42
7,real,Flickr30k,1269470943,flickr-792,A boy laying on the grass face down with a football at his feet.,data/raw/real/flickr30k/g0007__src-real.jpg,true,1.0,42
8,real,COCO,000000509819,coco-000000509819,A pencil is sitting on a ruler with a pair of scissors.,data/raw/real/coco/g0008__src-real.jpg,true,1.0,42
9,real,COCO,000000559442,coco-000000559442,White clouds float above a big fancy castle on a sunny day,data/raw/real/coco/g0009__src-real.jpg,true,1.0,42
10,real,Flickr30k,1082252566,flickr-229,A large brown dog is pushing a small Boston terrier with his face while anouther dog watches.,data/raw/real/flickr30k/g0010__src-real.jpg,true,1.0,42
11,real,Flickr30k,1170586898,flickr-524,"Three men, each wearing a white shirt and orange shorts, build a sand castle while another man, wearing the same clothing, looks on.",data/raw/real/flickr30k/g0011__src-real.jpg,true,1.0,42
12,real,Flickr30k,109380144,flickr-262,A man wearing an Illinois t-shirt is looking at a camera while a girl is aiming her foot at his face and another man is making an odd face in the background.,data/raw/real/flickr30k/g0012__src-real.jpg,true,1.0,42
13,real,COCO,000000087199,coco-000000087199,A man in costume talking on a cell phone.,data/raw/real/coco/g0013__src-real.jpg,true,1.0,42
14,real,COCO,000000398580,coco-000000398580,A very tall giraffe walks through the trees.,data/raw/real/coco/g0014__src-real.jpg,true,1.0,42
15,real,Flickr30k,1234817607,flickr-679,An elderly man is smiling while sitting in front of a row of soda cans.,data/raw/real/flickr30k/g0015__src-real.jpg,true,1.0,42
16,real,COCO,000000493174,coco-000000493174,Two women in white dresses playing a game of tennis.,data/raw/real/coco/g0016__src-real.jpg,true,1.0,42
17,real,Flickr30k,1119418776,flickr-357,"A brown, black and white dog is running through a large field with its mouth open.",data/raw/real/flickr30k/g0017__src-real.jpg,true,1.0,42
18,real,COCO,000000191381,coco-000000191381,Blue dust pan and brush on floor next to white commode.,data/raw/real/coco/g0018__src-real.jpg,true,1.0,42
19,real,COCO,000000192440,coco-000000192440,A clean bathroom is seen in this image.,data/raw/real/coco/g0019__src-real.jpg,true,1.0,42
20,real,COCO,000000209322,coco-000000209322,A bathroom with blue and white tiles and a white toilet,data/raw/real/coco/g0020__src-real.jpg,true,1.0,42
21,real,Flickr30k,115767961,flickr-481,A man in a white and black uniform carries luggage and blankets across a sidewalk outside of a red bricked building.,data/raw/real/flickr30k/g0021__src-real.jpg,true,1.0,42
22,real,Flickr30k,1131340021,flickr-398,The little boy is wearing a black pinstripe shirt and walking on a deck.,data/raw/real/flickr30k/g0022__src-real.jpg,true,1.0,42
23,real,COCO,000000436470,coco-000000436470,a living room with couches chairs and a table,data/raw/real/coco/g0023__src-real.jpg,true,1.0,42
24,real,Flickr30k,111908743,flickr-356,A man in red pants balancing on a blue object with his hands,data/raw/real/flickr30k/g0024__src-real.jpg,true,1.0,42
25,real,COCO,000000444444,coco-000000444444,A woman standing in front of a brown horse.,data/raw/real/coco/g0025__src-real.jpg,true,1.0,42
26,real,Flickr30k,1035392784,flickr-119,A man in black with long hair playing a guitar with stickers on it.,data/raw/real/flickr30k/g0026__src-real.jpg,true,1.0,42
27,real,COCO,000000173574,coco-000000173574,That looks like a wall mural in the background of this photo with a lot of sheet.,data/raw/real/coco/g0027__src-real.jpg,true,1.0,42
28,real,COCO,000000207797,coco-000000207797,A lone giraffe walking in an open field.,data/raw/real/coco/g0028__src-real.jpg,true,1.0,42
29,real,COCO,000000283119,coco-000000283119,a dog laying down eating food out of a bowl,data/raw/real/coco/g0029__src-real.jpg,true,1.0,42
30,real,COCO,000000308599,coco-000000308599,Red wooden door with a stop sign requiring ID,data/raw/real/coco/g0030__src-real.jpg,true,1.0,42
31,real,COCO,000000316795,coco-000000316795,A man in black leading an all white horse,data/raw/real/coco/g0031__src-real.jpg,true,1.0,42
