group_id,dataset,orig_id,caption_id,caption_text,real_image_path
1,COCO,000000436795,coco-000000436795,A man eating a hotdog in a kitchen,data/covers/real/g0001__src-real.png
2,Flickr30k,11914981,flickr-576,"A man, a woman, and a younger girl are moving a device with a conveyor belt",data/covers/real/g0002__src-real.png
3,COCO,000000392915,coco-000000392915,"A neat and tidy, modern, residential, family kitchen",data/covers/real/g0003__src-real.png
4,COCO,000000122203,coco-000000122203,Lots of cows eating grass on a large field.,data/covers/real/g0004__src-real.png
5,COCO,000000183666,coco-000000183666,Red and blue train sits along the tracks,data/covers/real/g0005__src-real.png
6,COCO,000000554625,coco-000000554625,a boy wearing headphones using one computer in a long row of computers,data/covers/real/g0006__src-real.png
7,Flickr30k,1269470943,flickr-792,A boy laying on the grass face down with a football at his feet.,data/covers/real/g0007__src-real.png
8,COCO,000000509819,coco-000000509819,A pencil is sitting on a ruler with a pair of scissors.,data/covers/real/g0008__src-real.png
9,COCO,000000559442,coco-000000559442,White clouds float above a big fancy castle on a sunny day,data/covers/real/g0009__src-real.png
10,Flickr30k,1082252566,flickr-229,A large brown dog is pushing a small Boston terrier with his face while anouther dog watches.,data/covers/real/g0010__src-real.png
11,Flickr30k,1170586898,flickr-524,"Three men, each wearing a white shirt and orange shorts, build a sand castle while another man, wearing the same clothing, looks on.",data/covers/real/g0011__src-real.png
12,Flickr30k,109380144,flickr-262,A man wearing an Illinois t-shirt is looking at a camera while a girl is aiming her foot at his face and another man is making an odd face in the background.,data/covers/real/g0012__src-real.png
13,COCO,000000087199,coco-000000087199,A man in costume talking on a cell phone.,data/covers/real/g0013__src-real.png
14,COCO,000000398580,coco-000000398580,A very tall giraffe walks through the trees.,data/covers/real/g0014__src-real.png
15,Flickr30k,1234817607,flickr-679,An elderly man is smiling while sitting in front of a row of soda cans.,data/covers/real/g0015__src-real.png
16,COCO,000000493174,coco-000000493174,Two women in white dresses playing a game of tennis.,data/covers/real/g0016__src-real.png
17,Flickr30k,1119418776,flickr-357,"A brown, black and white dog is running through a large field with its mouth open.",data/covers/real/g0017__src-real.png
18,COCO,000000191381,coco-000000191381,Blue dust pan and brush on floor next to white commode.,data/covers/real/g0018__src-real.png
19,COCO,000000192440,coco-000000192440,A clean bathroom is seen in this image.,data/covers/real/g0019__src-real.png
20,COCO,000000209322,coco-000000209322,A bathroom with blue and white tiles and a white toilet,data/covers/real/g0020__src-real.png
21,Flickr30k,115767961,flickr-481,A man in a white and black uniform carries luggage and blankets across a sidewalk outside of a red bricked building.,data/covers/real/g0021__src-real.png
22,Flickr30k,1131340021,flickr-398,The little boy is wearing a black pinstripe shirt and walking on a deck.,data/covers/real/g0022__src-real.png
23,COCO,000000436470,coco-000000436470,a living room with couches chairs and a table,data/covers/real/g0023__src-real.png
24,Flickr30k,111908743,flickr-356,A man in red pants balancing on a blue object with his hands,data/covers/real/g0024__src-real.png
25,COCO,000000444444,coco-000000444444,A woman standing in front of a brown horse.,data/covers/real/g0025__src-real.png
26,Flickr30k,1035392784,flickr-119,A man in black with long hair playing a guitar with stickers on it.,data/covers/real/g0026__src-real.png
27,COCO,000000173574,coco-000000173574,That looks like a wall mural in the background of this photo with a lot of sheet.,data/covers/real/g0027__src-real.png
28,COCO,000000207797,coco-000000207797,A lone giraffe walking in an open field.,data/covers/real/g0028__src-real.png
29,COCO,000000283119,coco-000000283119,a dog laying down eating food out of a bowl,data/covers/real/g0029__src-real.png
30,COCO,000000308599,coco-000000308599,Red wooden door with a stop sign requiring ID,data/covers/real/g0030__src-real.png
31,COCO,000000316795,coco-000000316795,A man in black leading an all white horse,data/covers/real/g0031__src-real.png
32,COCO,000000379977,coco-000000379977,A brown horse is walking around in the grassy mountain.,data/covers/real/g0032__src-real.png
33,COCO,000000145383,coco-000000145383,A small airplane flying over a field over crops.,data/covers/real/g0033__src-real.png
34,COCO,000000072833,coco-000000072833,A person riding a surfboard on a wave in a wet suit.,data/covers/real/g0034__src-real.png
35,COCO,000000463836,coco-000000463836,A man looking down with a backpack on in a house.,data/covers/real/g0035__src-real.png
36,COCO,000000193271,coco-000000193271,A kitchen filled with black appliances and lots of counter top space.,data/covers/real/g0036__src-real.png
37,Flickr30k,1010673430,flickr-42,A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass.,data/covers/real/g0037__src-real.png
38,COCO,000000224736,coco-000000224736,A professional kitchen filled with sinks and appliances.,data/covers/real/g0038__src-real.png
39,COCO,000000118113,coco-000000118113,this is a very dark picture of a room with a shelf,data/covers/real/g0039__src-real.png
40,COCO,000000560323,coco-000000560323,a man with a tennis racket celebrates as people look on,data/covers/real/g0040__src-real.png
41,Flickr30k,1013536888,flickr-50,"Women are seated at a picnic table eating, while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background.",data/covers/real/g0041__src-real.png
42,COCO,000000095022,coco-000000095022,A bird with red eyes perched on top of a tree branch.,data/covers/real/g0042__src-real.png
43,COCO,000000371973,coco-000000371973,A small yellow airplane is on a grassy runway.,data/covers/real/g0043__src-real.png
44,COCO,000000340420,coco-000000340420,two different pizzas that just came out of an oven.,data/covers/real/g0044__src-real.png
45,Flickr30k,1119015538,flickr-354,A small dogs ears stick up as it runs in the grass.,data/covers/real/g0045__src-real.png
46,COCO,000000436141,coco-000000436141,The bathroom is clean and ready to be used.,data/covers/real/g0046__src-real.png
47,COCO,000000078522,coco-000000078522,A sheep standing in the middle of a field.,data/covers/real/g0047__src-real.png
48,Flickr30k,116002648,flickr-490,A child wearing a gray hat and black jacket while sleeping on a red coat.,data/covers/real/g0048__src-real.png
49,COCO,000000223648,coco-000000223648,Multiple wooden spoons are shown on a table top.,data/covers/real/g0049__src-real.png
50,COCO,000000024430,coco-000000024430,A boat sitting on someone's lawn near an abandoned brick house.,data/covers/real/g0050__src-real.png
51,COCO,000000502090,coco-000000502090,A kite flying through a blue sky with a long tail.,data/covers/real/g0051__src-real.png
52,COCO,000000235597,coco-000000235597,A group of men sitting at desks with computers.,data/covers/real/g0052__src-real.png
53,Flickr30k,1247484195,flickr-725,"A young girl in a yellow dance, dancing on a stage with a baseball field in the background.",data/covers/real/g0053__src-real.png
54,Flickr30k,1160034462,flickr-491,White-haired man in gray sweater and a straw hat sitting on a bench under a tree.,data/covers/real/g0054__src-real.png
55,COCO,000000327433,coco-000000327433,The wildlife is grazing on the tall vegetation.,data/covers/real/g0055__src-real.png
56,COCO,000000262284,coco-000000262284,A full view of a shower with glass.,data/covers/real/g0056__src-real.png
57,COCO,000000094590,coco-000000094590,A bunch of doughnuts that are on a plate.,data/covers/real/g0057__src-real.png
58,COCO,000000220690,coco-000000220690,A city street filled with lots of traffic and pedestrians.,data/covers/real/g0058__src-real.png
59,COCO,000000117125,coco-000000117125,The train is rounding the bend of a track on the mountain side.,data/covers/real/g0059__src-real.png
60,Flickr30k,110269384,flickr-301,A dark-haired woman in a green and white apron sits amid her outdoor display of flowers for sale on a city street.,data/covers/real/g0060__src-real.png
